order_item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM-00000001,ORD-0000001,PROD-00001,5,324.79,0.10
ITEM-00000002,ORD-0000001,PROD-00010,4,489.26,0.10
ITEM-00000003,ORD-0000001,PROD-00020,2,392.83,0.10
ITEM-00000004,ORD-0000002,PROD-00019,1,690.58,0.00
ITEM-00000005,ORD-0000002,PROD-00015,2,715.20,0.00
ITEM-00000006,ORD-0000002,PROD-00015,3,715.20,0.05
ITEM-00000007,ORD-0000003,PROD-00002,1,546.82,0.00
ITEM-00000008,ORD-0000003,PROD-00005,2,354.49,0.00
ITEM-00000009,ORD-0000003,PROD-00007,4,108.45,0.20
ITEM-00000010,ORD-0000004,PROD-00007,1,108.45,0.15
ITEM-00000011,ORD-0000004,PROD-00004,3,354.75,0.20
ITEM-00000012,ORD-0000005,PROD-00004,4,354.75,0.05
ITEM-00000013,ORD-0000005,PROD-00005,4,354.49,0.00
ITEM-00000014,ORD-0000006,PROD-00008,4,447.99,0.15
ITEM-00000015,ORD-0000006,PROD-00001,4,324.79,0.05
ITEM-00000016,ORD-0000007,PROD-00018,2,653.86,0.20
ITEM-00000017,ORD-0000007,PROD-00015,1,715.20,0.00
ITEM-00000018,ORD-0000008,PROD-00009,3,459.59,0.05
ITEM-00000019,ORD-0000008,PROD-00011,1,768.27,0.20
ITEM-00000020,ORD-0000009,PROD-99999,2,489.26,0.05
ITEM-00000021,ORD-0000010,PROD-00019,3,690.58,0.10
ITEM-00000022,ORD-0000011,PROD-00010,1,489.26,0.00
ITEM-00000023,ORD-0000011,PROD-00020,5,392.83,0.15
ITEM-00000024,ORD-0000011,PROD-00015,4,715.20,0.05
ITEM-00000025,ORD-0000012,PROD-00003,2,468.67,0.00
ITEM-00000026,ORD-0000012,PROD-00016,3,559.77,0.00
ITEM-00000027,ORD-0000012,PROD-00015,1,715.20,0.20
ITEM-00000028,ORD-0000013,PROD-00006,3,165.66,0.15
ITEM-00000029,ORD-0000014,PROD-00011,5,768.27,0.05
ITEM-00000030,ORD-0000014,PROD-00019,5,690.58,0.00
ITEM-00000031,ORD-0000015,PROD-00003,4,468.67,0.05
ITEM-00000032,ORD-0000015,PROD-00004,2,354.75,0.05
ITEM-00000033,ORD-0000016,PROD-00018,4,653.86,0.10
ITEM-00000034,ORD-0000017,PROD-00004,1,354.75,0.20
ITEM-00000035,ORD-0000017,PROD-00006,-1,165.66,0.15
ITEM-00000036,ORD-0000018,PROD-00016,2,559.77,0.10
ITEM-00000037,ORD-0000018,PROD-00020,5,392.83,0.20
ITEM-00000038,ORD-0000019,PROD-00015,5,715.20,0.10
ITEM-00000039,ORD-0000020,PROD-00013,4,46.51,0.20
ITEM-00000040,ORD-0000020,PROD-00005,4,354.49,0.00
ITEM-00000041,ORD-0000021,PROD-00009,3,459.59,0.15
ITEM-00000042,ORD-0000021,PROD-00011,5,768.27,0.10
ITEM-00000043,ORD-0000022,PROD-00004,1,354.75,0.10
ITEM-00000044,ORD-0000022,PROD-00001,1,324.79,0.05
ITEM-00000045,ORD-0000023,PROD-00008,4,447.99,0.15
ITEM-00000046,ORD-0000023,PROD-00009,4,459.59,0.05
ITEM-00000047,ORD-0000023,PROD-00015,3,715.20,0.20
ITEM-00000048,ORD-0000024,PROD-00013,5,46.51,0.05
ITEM-00000049,ORD-0000025,PROD-00008,5,447.99,0.05
ITEM-00000050,ORD-0000025,PROD-00009,2,459.59,0.20
ITEM-00000051,ORD-0000026,PROD-00018,3,653.86,0.15
ITEM-00000052,ORD-0000027,PROD-00013,5,46.51,0.05
ITEM-00000053,ORD-0000027,PROD-00009,5,459.59,0.00
ITEM-00000054,ORD-0000027,PROD-00009,5,459.59,0.10
ITEM-00000055,ORD-0000028,PROD-00010,4,489.26,0.00
ITEM-00000056,ORD-0000028,PROD-00010,4,489.26,0.00
ITEM-00000057,ORD-0000028,PROD-00005,4,354.49,0.10
ITEM-00000058,ORD-0000029,PROD-00002,3,546.82,0.00
ITEM-00000059,ORD-0000029,PROD-00012,1,83.78,0.20
ITEM-00000060,ORD-0000030,PROD-00011,2,768.27,0.00
ITEM-00000061,ORD-0000031,PROD-00005,5,354.49,0.05
ITEM-00000062,ORD-0000032,PROD-00004,1,354.75,0.10
ITEM-00000063,ORD-0000032,PROD-00019,1,690.58,0.10
ITEM-00000064,ORD-0000032,PROD-00002,5,546.82,0.05
ITEM-00000065,ORD-0000033,PROD-00003,2,468.67,0.05
ITEM-00000066,ORD-0000034,PROD-00018,2,653.86,0.10
ITEM-00000067,ORD-0000034,PROD-00011,4,768.27,0.10
ITEM-00000068,ORD-0000034,PROD-00014,3,464.78,0.20
ITEM-00000069,ORD-0000035,PROD-00019,5,690.58,0.15
ITEM-00000070,ORD-0000036,PROD-00004,3,354.75,0.15
ITEM-00000071,ORD-0000037,PROD-00006,3,165.66,0.20
ITEM-00000072,ORD-0000038,PROD-00013,4,46.51,0.10
ITEM-00000073,ORD-0000039,PROD-00014,4,464.78,0.15
ITEM-00000074,ORD-0000039,PROD-00017,1,377.07,0.05
ITEM-00000075,ORD-0000039,PROD-00019,4,690.58,0.15
ITEM-00000076,ORD-0000040,PROD-00014,2,464.78,0.00
ITEM-00000077,ORD-0000040,PROD-00017,5,377.07,0.20
ITEM-00000078,ORD-0000041,PROD-00013,1,46.51,0.05
ITEM-00000079,ORD-0000042,PROD-00011,2,768.27,0.05
ITEM-00000080,ORD-0000042,PROD-00021,1,715.49,0.15
ITEM-00000081,ORD-0000042,PROD-00012,3,83.78,0.20
ITEM-00000082,ORD-0000043,PROD-00016,4,559.77,0.15
ITEM-00000083,ORD-0000043,PROD-00019,5,690.58,0.05
ITEM-00000084,ORD-0000043,PROD-00005,4,354.49,0.00
ITEM-00000085,ORD-0000044,PROD-00003,5,468.67,0.15
ITEM-00000086,ORD-0000044,PROD-00018,1,653.86,0.10
ITEM-00000087,ORD-0000044,PROD-00007,3,108.45,0.15
ITEM-00000088,ORD-0000045,PROD-00006,3,165.66,0.05
ITEM-00000089,ORD-0000045,PROD-00011,5,768.27,0.00
ITEM-00000090,ORD-0000045,PROD-00003,3,468.67,0.00
ITEM-00000091,ORD-0000046,PROD-00013,2,46.51,0.15
ITEM-00000092,ORD-0000046,PROD-00018,4,653.86,0.20
ITEM-00000093,ORD-0000046,PROD-00017,1,377.07,0.20
ITEM-00000094,ORD-0000047,PROD-00017,5,377.07,0.20
