order_id,customer_id,store_id,employee_id,order_timestamp,order_status,channel,shipping_cost,tax_amount,order_subtotal,total_amount
ORD-0000001,CUST-000015,STR-0002,EMP-00003,2024-02-26 11:00:17,PENDING,WEB,9.99,314.40,3929.98,4254.38
ORD-0000002,CUST-000012,STR-0003,EMP-00004,2024-07-16 11:43:09,COMPLETED,WEB,9.99,332.74,4159.30,4502.03
ORD-0000003,CUST-000015,STR-0002,EMP-00001,2024-01-01 07:09:17,COMPLETED,MOBILE_APP,9.99,128.23,1602.84,1741.06
ORD-0000004,CUST-000025,STR-0001,EMP-00002,2023-08-30 14:11:08,COMPLETED,MOBILE_APP,9.99,75.49,943.58,1029.06
ORD-0000005,CUST-000002,STR-0002,EMP-00005,2023-11-29 17:32:41,UNKNOWN_STATUS_INVALID,WEB,9.99,221.28,2766.01,2997.28
ORD-0000006,CUST-000020,STR-0002,EMP-00004,2023-12-05 07:41:49,REFUNDED,MOBILE_APP,9.99,220.59,2757.37,2987.95
ORD-0000007,CUST-999999,STR-0002,EMP-00005,2024-06-28 15:00:44,COMPLETED,MOBILE_APP,9.99,140.91,1761.38,1912.28
ORD-0000008,CUST-000024,STR-0003,EMP-00003,2024-01-03 14:12:53,CANCELLED,MOBILE_APP,9.99,153.96,1924.45,2088.40
ORD-0000009,CUST-000008,STR-0003,EMP-00004,2023-08-03 18:19:35,REFUNDED,MOBILE_APP,9.99,74.37,929.59,1013.95
ORD-0000010,CUST-000010,STR-0001,EMP-00001,2024-03-05 19:21:31,COMPLETED,MOBILE_APP,9.99,149.17,1864.57,2023.73
ORD-0000011,CUST-000010,STR-0002,EMP-00001,2024-09-30 13:20:47,COMPLETED,WEB,9.99,390.12,4876.55,5276.66
ORD-0000012,CUST-000022,STR-0001,EMP-00005,2024-07-28 20:15:52,COMPLETED,IN_STORE,0.00,255.10,3188.81,3443.91
ORD-0000013,CUST-000021,STR-0003,EMP-00002,2023-11-27 05:09:53,COMPLETED,MOBILE_APP,9.99,33.79,422.43,466.21
ORD-0000014,CUST-000004,STR-0002,EMP-00003,2024-06-27 11:58:52,PENDING,WEB,9.99,568.17,7102.18,7680.34
ORD-0000015,CUST-000002,STR-0001,EMP-00004,2024-02-08 02:11:13,REFUNDED,WEB,9.99,196.40,2454.97,2661.36
ORD-0000016,CUST-000014,STR-0003,EMP-00001,2023-12-20 06:34:10,COMPLETED,WEB,9.99,188.31,2353.90,2552.20
ORD-0000017,CUST-000017,STR-0003,EMP-00004,2024-08-13 07:15:01,COMPLETED,IN_STORE,0.00,22.70,283.80,306.50
ORD-0000018,CUST-000004,STR-0002,EMP-00001,2024-05-18 02:11:01,COMPLETED,WEB,9.99,206.31,2578.91,2795.21
ORD-0000019,CUST-000015,STR-0002,EMP-00005,2023-07-27 12:27:33,COMPLETED,WEB,9.99,257.47,3218.40,3485.86
ORD-0000020,CUST-000016,STR-0002,EMP-00002,2024-06-25 18:18:47,COMPLETED,MOBILE_APP,9.99,125.34,1566.79,1702.12
ORD-0000021,CUST-000004,STR-0002,EMP-00001,2024-02-13 12:26:19,PENDING,IN_STORE,0.00,370.33,4629.17,4999.50
ORD-0000022,CUST-000017,STR-0003,EMP-00001,2024-04-24 14:16:43,COMPLETED,IN_STORE,0.00,50.23,627.83,678.06
ORD-0000023,CUST-000005,STR-0001,EMP-00005,2023-11-17 01:12:04,CANCELLED,MOBILE_APP,9.99,398.89,4986.09,5394.97
ORD-0000024,CUST-000021,STR-0002,EMP-00004,2024-06-20 04:22:35,COMPLETED,WEB,9.99,17.67,220.92,248.58
ORD-0000025,CUST-000024,STR-0002,EMP-00003,2023-01-07 06:57:25,CANCELLED,MOBILE_APP,9.99,229.06,2863.30,3102.35
ORD-0000026,CUST-000016,STR-0001,EMP-00005,2023-10-11 09:30:22,REFUNDED,IN_STORE,0.00,133.39,1667.34,1800.73
ORD-0000027,CUST-000017,STR-0002,EMP-00003,2024-09-16 15:58:52,COMPLETED,WEB,9.99,366.96,4587.03,4963.98
ORD-0000028,CUST-000009,STR-0002,EMP-00001,2024-04-26 05:11:26,CANCELLED,WEB,9.99,415.22,5190.24,5615.45
ORD-0000029,CUST-000020,STR-0002,EMP-00005,2024-07-30 12:53:50,REFUNDED,IN_STORE,0.00,136.60,1707.48,1844.08
ORD-0000030,CUST-000002,STR-0002,EMP-00003,2023-05-28 10:17:16,COMPLETED,WEB,9.99,122.92,1536.54,1669.45
ORD-0000031,CUST-000020,STR-0001,EMP-00005,2023-06-17 17:37:29,COMPLETED,WEB,9.99,134.71,1683.83,1828.53
ORD-0000032,CUST-000005,STR-0001,EMP-00003,2024-09-05 14:22:53,COMPLETED,MOBILE_APP,9.99,283.06,3538.19,3831.24
ORD-0000033,CUST-000017,STR-0002,EMP-00004,2024-06-16 21:47:03,COMPLETED,WEB,9.99,71.24,890.47,971.70
ORD-0000034,CUST-000014,STR-0003,EMP-00005,2023-08-18 01:17:32,PENDING,MOBILE_APP,9.99,404.66,5058.19,5472.84
ORD-0000035,CUST-000017,STR-0001,EMP-00001,2024-10-08 01:21:06,COMPLETED,IN_STORE,0.00,234.80,2934.96,3169.76
ORD-0000036,CUST-000024,STR-0002,EMP-00001,2023-08-12 09:48:02,CANCELLED,WEB,9.99,72.37,904.61,986.97
ORD-0000037,CUST-000015,STR-0003,EMP-00005,2024-04-21 13:50:05,REFUNDED,MOBILE_APP,9.99,31.81,397.58,439.38
ORD-0000038,CUST-000006,STR-0001,EMP-00005,2024-05-25 13:47:31,PENDING,IN_STORE,0.00,13.39,167.44,180.83
ORD-0000039,CUST-000021,STR-0003,EMP-00001,2024-11-17 02:41:30,COMPLETED,IN_STORE,0.00,342.92,4286.44,4629.36
ORD-0000040,CUST-000022,STR-0001,EMP-00001,2023-06-08 18:43:23,COMPLETED,IN_STORE,0.00,195.03,2437.84,2632.87
ORD-0000041,CUST-000002,STR-0002,EMP-00001,2023-12-24 02:26:25,COMPLETED,WEB,9.99,3.53,44.18,57.70
ORD-0000042,CUST-000025,STR-0002,EMP-00001,2023-12-06 04:53:51,COMPLETED,IN_STORE,0.00,181.52,2268.95,2450.47
ORD-0000043,CUST-000004,STR-0001,EMP-00003,2023-06-03 05:24:46,COMPLETED,MOBILE_APP,9.99,528.11,6601.43,7139.53
ORD-0000044,CUST-000021,STR-0001,EMP-00003,2024-01-30 01:26:42,COMPLETED,WEB,9.99,228.55,2856.87,3095.41
ORD-0000045,CUST-000004,STR-0002,EMP-00001,2024-01-27 21:28:30,REFUNDED,IN_STORE,0.00,457.56,5719.49,6177.05
ORD-0000046,CUST-000024,STR-0003,EMP-00002,2023-09-16 22:19:07,COMPLETED,MOBILE_APP,9.99,197.85,2473.08,2680.92
ORD-0000047,CUST-000011,STR-0001,EMP-00002,2023-09-23 10:21:09,PENDING,IN_STORE,0.00,120.66,1508.28,1628.94
ORD-0000048,CUST-000022,STR-0001,EMP-00005,2023-10-20 14:34:02,COMPLETED,IN_STORE,0.00,502.47,6280.83,6783.30
ORD-0000049,CUST-000008,STR-0002,EMP-00005,2023-12-09 05:19:51,PENDING,WEB,9.99,59.71,746.38,816.08
ORD-0000050,CUST-000004,STR-0003,EMP-00005,2024-10-23 02:53:06,COMPLETED,WEB,9.99,100.95,1261.91,1372.85
