return_id,order_item_id,return_timestamp,return_reason,refund_amount,return_status
RET-0000001,ITEM-00000013,2023-05-03 18:49:59,DEFECTIVE,1417.96,APPROVED
RET-0000002,ITEM-00000029,2023-10-26 09:04:18,UNSATISFIED,3841.35,APPROVED
RET-0000003,ITEM-00000042,2024-01-28 14:10:03,NOT_AS_DESCRIBED,3841.35,APPROVED
RET-0000004,ITEM-00000045,2024-01-20 09:29:47,UNSATISFIED,1791.96,APPROVED
RET-0000005,ITEM-00000049,2023-12-01 17:04:33,DEFECTIVE,2239.95,APPROVED
RET-0000006,ITEM-00000053,2024-03-18 22:49:13,DEFECTIVE,2297.95,APPROVED
RET-0000007,ITEM-00000063,2024-09-09 09:57:29,UNSATISFIED,690.58,APPROVED
RET-0000008,ITEM-00000069,2023-04-17 10:32:35,DEFECTIVE,3452.90,APPROVED
RET-0000009,ITEM-00000086,2024-06-07 08:39:41,UNSATISFIED,653.86,APPROVED
RET-0000010,ITEM-00000098,2023-05-13 10:34:30,NOT_AS_DESCRIBED,785.66,APPROVED
